emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Joy,380,6.942105263157894,5.052631578947368,6.410526315789474,7.692105263157894,3.5710526315789473,6.252631578947368,5.778947368421052,3.086842105263158,5.5394736842105265,4.323684210526316,1.694736842105263,7.863157894736842,6.53421052631579,7.91578947368421
Nostalgia,37,6.4324324324324325,3.918918918918919,5.864864864864865,7.8108108108108105,3.3513513513513513,6.405405405405405,5.891891891891892,2.7837837837837838,5.45945945945946,5.054054054054054,1.8918918918918919,8.054054054054054,5.648648648648648,7.1891891891891895
Pride,12,6.833333333333333,6.25,7.25,8.0,6.166666666666667,6.833333333333333,5.916666666666667,6.666666666666667,6.0,5.916666666666667,2.3333333333333335,7.166666666666667,7.166666666666667,8.0
Relief,118,5.398305084745763,6.3559322033898304,7.423728813559322,7.084745762711864,3.9491525423728815,4.864406779661017,4.203389830508475,4.97457627118644,4.813559322033898,3.957627118644068,4.872881355932203,5.101694915254237,7.033898305084746,6.02542372881356
Romance,94,7.01063829787234,4.723404255319149,6.3936170212765955,7.872340425531915,4.180851063829787,6.117021276595745,5.212765957446808,2.5,5.276595744680851,4.627659574468085,1.4893617021276595,7.75531914893617,6.127659574468085,7.808510638297872
Sadness,59,3.406779661016949,5.711864406779661,7.338983050847458,7.0508474576271185,3.2711864406779663,2.559322033898305,2.8135593220338984,4.084745762711864,2.9491525423728815,4.084745762711864,6.508474576271187,4.0508474576271185,2.440677966101695,2.4237288135593222
Satisfaction,112,6.026785714285714,4.508928571428571,6.473214285714286,7.973214285714286,3.1339285714285716,6.633928571428571,5.964285714285714,3.5267857142857144,5.267857142857143,3.580357142857143,1.9732142857142858,7.919642857142857,6.258928571428571,6.9375
Sexual-Desire,33,6.7272727272727275,6.757575757575758,6.909090909090909,7.696969696969697,3.5454545454545454,5.242424242424242,4.696969696969697,2.6363636363636362,5.121212121212121,3.878787878787879,1.4242424242424243,7.666666666666667,5.696969696969697,6.909090909090909
Surprise,531,4.928436911487759,6.937853107344632,7.578154425612053,6.5423728813559325,2.7551789077212807,4.406779661016949,4.604519774011299,4.052730696798493,4.8192090395480225,3.190207156308851,3.785310734463277,5.674199623352166,4.96045197740113,5.508474576271187
Sympathy,162,4.45679012345679,5.993827160493828,7.172839506172839,7.061728395061729,3.234567901234568,3.5185185185185186,3.6296296296296298,4.302469135802469,4.290123456790123,3.654320987654321,5.962962962962963,4.827160493827161,4.172839506172839,4.216049382716049
Triumph,42,7.238095238095238,7.0,7.428571428571429,7.714285714285714,5.404761904761905,6.095238095238095,5.761904761904762,5.833333333333333,6.0,5.238095238095238,2.7142857142857144,6.904761904761905,7.976190476190476,8.119047619047619
