emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Craving,51,7.627450980392157,4.96078431372549,7.078431372549019,7.882352941176471,3.196078431372549,5.568627450980392,5.686274509803922,2.1176470588235294,5.0,3.019607843137255,1.607843137254902,7.176470588235294,6.019607843137255,7.745098039215686
Disappointment,8,4.875,5.25,7.125,7.375,3.0,3.5,4.0,2.875,4.375,3.75,4.125,5.75,3.625,4.5
Disgust,136,2.926470588235294,6.676470588235294,7.786764705882353,7.264705882352941,2.4191176470588234,2.8970588235294117,3.176470588235294,3.0588235294117645,3.661764705882353,3.4779411764705883,2.6911764705882355,3.0220588235294117,2.485294117647059,2.6691176470588234
Empathic-Pain,199,3.472361809045226,6.8542713567839195,8.130653266331658,7.351758793969849,2.869346733668342,2.507537688442211,2.9145728643216082,3.758793969849246,3.2060301507537687,3.6834170854271355,4.8542713567839195,2.4120603015075375,2.251256281407035,2.4824120603015074
Entrancement,103,6.038834951456311,5.310679611650485,7.543689320388349,7.038834951456311,3.5728155339805827,4.038834951456311,4.194174757281553,2.912621359223301,4.932038834951456,3.5145631067961167,1.8349514563106797,6.194174757281553,5.223300970873787,6.543689320388349
Envy,1,6.0,4.0,7.0,8.0,3.0,7.0,6.0,2.0,5.0,5.0,2.0,6.0,6.0,7.0
Excitement,250,6.72,7.804,8.116,7.496,5.04,4.636,4.62,4.74,5.084,3.84,2.492,4.468,6.244,6.908
Fear,304,3.2072368421052633,8.013157894736842,8.407894736842104,6.7368421052631575,3.013157894736842,2.4703947368421053,2.825657894736842,3.773026315789474,3.6809210526315788,3.5296052631578947,4.621710526315789,1.993421052631579,2.661184210526316,2.9078947368421053
Guilt,0,,,,,,,,,,,,,,
Horror,171,2.257309941520468,7.83625730994152,8.368421052631579,6.912280701754386,2.2514619883040936,2.245614035087719,2.6432748538011697,3.6140350877192984,2.7134502923976607,3.56140350877193,4.538011695906433,1.8421052631578947,1.6198830409356726,2.0584795321637426
Interest,721,5.821081830790568,5.3065187239944525,7.108183079056865,7.4299583911234395,3.39251040221914,4.626907073509015,4.55755894590846,3.246879334257975,4.9195561719833565,3.306518723994452,2.1386962552011095,6.10124826629681,5.085991678224688,6.345353675450763
Joy,404,7.143564356435643,5.358910891089109,6.801980198019802,7.849009900990099,4.150990099009901,5.150990099009901,5.054455445544554,2.8193069306930694,5.371287128712871,3.8168316831683167,1.7376237623762376,7.383663366336633,6.804455445544554,8.121287128712872
Nostalgia,79,6.468354430379747,4.291139240506329,6.3924050632911396,7.632911392405063,3.8607594936708862,4.987341772151899,5.0886075949367084,2.3797468354430378,5.151898734177215,4.405063291139241,1.8481012658227849,6.936708860759493,5.69620253164557,7.025316455696203
Pride,32,6.9375,6.0,7.34375,7.5,5.9375,5.46875,5.375,4.1875,5.09375,6.15625,1.9375,6.40625,7.28125,7.875
Relief,89,5.640449438202247,6.033707865168539,7.573033707865169,7.640449438202247,4.393258426966292,4.314606741573034,4.022471910112359,4.292134831460674,4.943820224719101,3.741573033707865,3.842696629213483,4.943820224719101,6.370786516853933,6.033707865168539
Romance,93,7.10752688172043,5.139784946236559,7.139784946236559,7.774193548387097,5.763440860215054,5.236559139784946,4.946236559139785,2.3978494623655915,5.150537634408602,4.333333333333333,1.8709677419354838,6.849462365591398,6.354838709677419,7.698924731182796
Sadness,79,4.227848101265823,5.037974683544304,7.493670886075949,7.2405063291139244,3.5569620253164556,2.7468354430379747,3.1012658227848102,3.3037974683544302,3.3544303797468356,4.177215189873418,3.9367088607594938,3.189873417721519,2.518987341772152,2.670886075949367
Satisfaction,119,6.53781512605042,4.680672268907563,6.815126050420168,7.815126050420168,3.5294117647058822,5.546218487394958,5.445378151260504,3.042016806722689,5.033613445378151,3.1512605042016806,1.9243697478991597,6.966386554621849,5.798319327731092,7.100840336134453
Sexual-Desire,45,6.666666666666667,6.6,7.5777777777777775,7.444444444444445,4.066666666666666,4.622222222222222,4.5777777777777775,2.7555555555555555,4.933333333333334,3.7333333333333334,1.9111111111111112,6.0,5.6,6.777777777777778
Surprise,419,5.138424821002387,6.861575178997613,7.699284009546539,7.033412887828162,3.052505966587112,3.5059665871121717,3.8591885441527447,3.214797136038186,4.68019093078759,3.341288782816229,3.159904534606205,4.711217183770883,4.479713603818616,5.288782816229117
Sympathy,188,5.26063829787234,5.319148936170213,7.367021276595745,7.5212765957446805,3.9361702127659575,3.425531914893617,3.5585106382978724,3.601063829787234,4.335106382978723,3.776595744680851,4.170212765957447,4.420212765957447,4.297872340425532,4.632978723404255
Triumph,49,7.26530612244898,7.346938775510204,7.918367346938775,7.73469387755102,5.8979591836734695,5.3061224489795915,5.63265306122449,5.183673469387755,5.408163265306122,5.1020408163265305,2.2857142857142856,5.857142857142857,7.489795918367347,7.795918367346939
