,emotion,model,total_difference,rank,mean_score,z_diff,strength,,,,,,,,
180,Awkwardness,gpt-5.2-chat-latest,6.859606881,10,0.339130435,0.450355405,,,,,,,,,
181,Empathic-Pain,gpt-5.1,6.855579525,2,2.284210526,0.448946229,,,,,,,,,
182,Empathic-Pain,gpt-4.1-mini,6.850281526,3,2.040732265,0.447092453,,,,,,,,,
183,Empathic-Pain,chatgpt-4o-latest,6.840732438,1,2.357437071,0.443751217,,,,,,,,,
184,Relief,gpt-4,6.830984508,16,0.239359268,0.440340406,,,,,,,,,
185,Empathic-Pain,gpt-5.1-chat-latest,6.747566005,6,1.384897025,0.411152182,,,,,,,,,
186,Contempt,gpt-4-turbo,6.732598043,6,0.153775744,0.405914876,,,,,,,,,
187,Sympathy,gpt-5.2-chat-latest,6.708108302,1,1.334553776,0.397345889,,,,,,,,,
188,Pride,gpt-5-mini,6.683406427,9,0.159267735,0.388702677,,,,,,,,,
189,Confusion,gpt-5.2-pro,6.679324036,5,0.31395881,0.387274244,,,,,,,,,
190,Adoration,chatgpt-4o-latest,6.663612985,4,3.011441648,0.38177693,,,,,,,,,
191,Relief,gpt-4.1-nano,6.663372217,3,0.720823799,0.381692685,,,,,,,,,
192,Aesthetic-Appreciation,gpt-5.2,6.656927467,14,2.142791762,0.37943766,,,,,,,,,
193,Aesthetic-Appreciation,gpt-4o-mini,6.65427757,12,2.305720824,0.378510458,,,,,,,,,
194,Anxiety,chatgpt-4o-latest,6.636024075,12,1.107551487,0.372123541,,,,,,,,,
195,Sympathy,gpt-4,6.626765076,5,1.196338673,0.368883807,,,,,,,,,
196,Triumph,gpt-5-mini,6.604122787,4,0.408237986,0.360961246,,,,,,,,,
197,Confusion,gpt-4.1,6.591864217,4,0.457208238,0.356671959,,,,,,,,,
198,Relief,gpt-5.2,6.559288384,11,0.448512586,0.34527364,,,,,,,,,
199,Aesthetic-Appreciation,gpt-4.1,6.543254673,1,6.940503432,0.339663427,,,,,,,,,
200,Awkwardness,chatgpt-4o-latest,6.527861626,8,0.473226545,0.334277384,,,,,,,,,
201,Triumph,gpt-4,6.525453328,13,0.19221968,0.333434718,,,,,,,,,
202,Surprise,gpt-4o-mini,6.510720477,16,1.360183066,0.328279677,,,,,,,,,
203,Triumph,gpt-4o,6.50814503,3,0.600915332,0.327378526,,,,,,,,,
