video_id,cosine_distance,,1が大量発生・・・・
751,0.788542868,,
756,0.788542868,,
767,0.788542868,,
797,0.788542868,,
853,0.788542868,,
862,0.788542868,,
866,0.788542868,,
881,0.788542868,,
884,0.788542868,,
941,0.788542868,,
957,0.788542868,,
974,0.788542868,,
977,0.788542868,,
994,0.788542868,,
1009,0.788542868,,
1024,0.788542868,,
1041,0.788542868,,
1055,0.788542868,,
1057,0.788542868,,
1105,0.788542868,,
1140,0.788542868,,
1174,0.788542868,,
1181,0.788542868,,
1230,0.788542868,,
1239,0.788542868,,
1258,0.788542868,,
1347,0.788542868,,
1370,0.788542868,,
1384,0.788542868,,
1422,0.788542868,,
1478,0.788542868,,
1479,0.788542868,,
1562,0.788542868,,
1570,0.788542868,,
1628,0.788542868,,
1653,0.788542868,,
1659,0.788542868,,
1693,0.788542868,,
1752,0.788542868,,
1790,0.788542868,,
1898,0.788542868,,
1970,0.788542868,,
2027,0.788542868,,
2034,0.788542868,,
2079,0.788542868,,
2091,0.788542868,,
2137,0.788542868,,
2178,0.788542868,,
14,0.784698193,,
32,0.784698193,,
54,0.784698193,,
82,0.784698193,,
157,0.784698193,,
219,0.784698193,,
322,0.784698193,,
328,0.784698193,,
418,0.784698193,,
478,0.784698193,,
512,0.784698193,,
594,0.784698193,,
627,0.784698193,,
639,0.784698193,,
671,0.784698193,,
712,0.784698193,,
766,0.784698193,,
776,0.784698193,,
854,0.784698193,,
898,0.784698193,,
909,0.784698193,,
961,0.784698193,,
963,0.784698193,,
981,0.784698193,,
991,0.784698193,,
1003,0.784698193,,
1360,0.784698193,,
1475,0.784698193,,
1567,0.784698193,,
1582,0.784698193,,
1588,0.784698193,,
1601,0.784698193,,
1608,0.784698193,,
1627,0.784698193,,
1637,0.784698193,,
1680,0.784698193,,
1781,0.784698193,,
1798,0.784698193,,
1805,0.784698193,,
1820,0.784698193,,
1826,0.784698193,,
1877,0.784698193,,
1946,0.784698193,,
2182,0.784698193,,
2185,0.784698193,,
587,0.615680218,,
354,0.615606374,,
25,0.615532488,,
70,0.615532488,,
91,0.615532488,,
118,0.615532488,,
137,0.615532488,,
141,0.615532488,,
158,0.615532488,,
161,0.615532488,,
229,0.615532488,,
236,0.615532488,,
293,0.615532488,,
325,0.615532488,,
367,0.615532488,,
386,0.615532488,,
389,0.615532488,,
397,0.615532488,,
412,0.615532488,,
427,0.615532488,,
438,0.615532488,,
448,0.615532488,,
465,0.615532488,,
469,0.615532488,,
496,0.615532488,,
498,0.615532488,,
499,0.615532488,,
517,0.615532488,,
523,0.615532488,,
530,0.615532488,,
531,0.615532488,,
533,0.615532488,,
534,0.615532488,,
576,0.615532488,,
622,0.615532488,,
687,0.615532488,,
704,0.615532488,,
731,0.615532488,,
737,0.615532488,,
744,0.615532488,,
789,0.615532488,,
794,0.615532488,,
808,0.615532488,,
843,0.615532488,,
844,0.615532488,,
867,0.615532488,,
877,0.615532488,,
901,0.615532488,,
904,0.615532488,,
950,0.615532488,,
986,0.615532488,,
1033,0.615532488,,
1117,0.615532488,,
1156,0.615532488,,
1179,0.615532488,,
1182,0.615532488,,
1192,0.615532488,,
1196,0.615532488,,
1245,0.615532488,,
1279,0.615532488,,
1290,0.615532488,,
1327,0.615532488,,
1334,0.615532488,,
1344,0.615532488,,
1379,0.615532488,,
1409,0.615532488,,
1451,0.615532488,,
1470,0.615532488,,
1507,0.615532488,,
1517,0.615532488,,
1519,0.615532488,,
1530,0.615532488,,
1556,0.615532488,,
1576,0.615532488,,
1618,0.615532488,,
1651,0.615532488,,
1669,0.615532488,,
1670,0.615532488,,
1689,0.615532488,,
1731,0.615532488,,
1733,0.615532488,,
1742,0.615532488,,
1799,0.615532488,,
1801,0.615532488,,
1809,0.615532488,,
1822,0.615532488,,
1827,0.615532488,,
1829,0.615532488,,
1830,0.615532488,,
1839,0.615532488,,
1905,0.615532488,,
1909,0.615532488,,
1922,0.615532488,,
1926,0.615532488,,
1989,0.615532488,,
2007,0.615532488,,
2013,0.615532488,,
2026,0.615532488,,
2031,0.615532488,,
2046,0.615532488,,
2060,0.615532488,,
2065,0.615532488,,
2078,0.615532488,,
2097,0.615532488,,
2107,0.615532488,,
2110,0.615532488,,
2117,0.615532488,,
2138,0.615532488,,
2140,0.615532488,,
2160,0.615532488,,
2161,0.615532488,,
2168,0.615532488,,
658,0.615458559,,
827,0.615458559,,
856,0.615458559,,
1292,0.615458559,,
35,0.61514802,,
44,0.61514802,,
65,0.61514802,,
76,0.61514802,,
94,0.61514802,,
125,0.61514802,,
139,0.61514802,,
143,0.61514802,,
226,0.61514802,,
234,0.61514802,,
306,0.61514802,,
315,0.61514802,,
370,0.61514802,,
374,0.61514802,,
405,0.61514802,,
482,0.61514802,,
489,0.61514802,,
500,0.61514802,,
513,0.61514802,,
516,0.61514802,,
571,0.61514802,,
608,0.61514802,,
616,0.61514802,,
618,0.61514802,,
660,0.61514802,,
667,0.61514802,,
688,0.61514802,,
702,0.61514802,,
718,0.61514802,,
846,0.61514802,,
852,0.61514802,,
931,0.61514802,,
1016,0.61514802,,
1022,0.61514802,,
1101,0.61514802,,
1120,0.61514802,,
1121,0.61514802,,
1122,0.61514802,,
1152,0.61514802,,
1188,0.61514802,,
1194,0.61514802,,
1218,0.61514802,,
1223,0.61514802,,
1235,0.61514802,,
1257,0.61514802,,
1263,0.61514802,,
1298,0.61514802,,
1330,0.61514802,,
1345,0.61514802,,
1368,0.61514802,,
1444,0.61514802,,
1458,0.61514802,,
1485,0.61514802,,
1554,0.61514802,,
1580,0.61514802,,
1592,0.61514802,,
1594,0.61514802,,
1615,0.61514802,,
1667,0.61514802,,
1766,0.61514802,,
1797,0.61514802,,
1956,0.61514802,,
1965,0.61514802,,
2032,0.61514802,,
2047,0.61514802,,
2059,0.61514802,,
2071,0.61514802,,
1509,0.173641197,,
859,0.056589201,,
122,0.049422146,,
1229,0.039015935,,
6,0.038831219,,
11,0.038831219,,
47,0.038831219,,
49,0.038831219,,
53,0.038831219,,
55,0.038831219,,
72,0.038831219,,
93,0.038831219,,
102,0.038831219,,
151,0.038831219,,
153,0.038831219,,
174,0.038831219,,
181,0.038831219,,
189,0.038831219,,
195,0.038831219,,
202,0.038831219,,
206,0.038831219,,
208,0.038831219,,
215,0.038831219,,
225,0.038831219,,
228,0.038831219,,
230,0.038831219,,
261,0.038831219,,
275,0.038831219,,
285,0.038831219,,
307,0.038831219,,
316,0.038831219,,
375,0.038831219,,
381,0.038831219,,
398,0.038831219,,
400,0.038831219,,
407,0.038831219,,
410,0.038831219,,
428,0.038831219,,
445,0.038831219,,
463,0.038831219,,
466,0.038831219,,
471,0.038831219,,
473,0.038831219,,
488,0.038831219,,
508,0.038831219,,
529,0.038831219,,
551,0.038831219,,
572,0.038831219,,
575,0.038831219,,
579,0.038831219,,
585,0.038831219,,
620,0.038831219,,
630,0.038831219,,
634,0.038831219,,
686,0.038831219,,
694,0.038831219,,
701,0.038831219,,
711,0.038831219,,
714,0.038831219,,
723,0.038831219,,
759,0.038831219,,
761,0.038831219,,
770,0.038831219,,
793,0.038831219,,
800,0.038831219,,
804,0.038831219,,
815,0.038831219,,
816,0.038831219,,
824,0.038831219,,
871,0.038831219,,
873,0.038831219,,
874,0.038831219,,
878,0.038831219,,
879,0.038831219,,
887,0.038831219,,
899,0.038831219,,
908,0.038831219,,
910,0.038831219,,
925,0.038831219,,
929,0.038831219,,
940,0.038831219,,
949,0.038831219,,
958,0.038831219,,
964,0.038831219,,
966,0.038831219,,
973,0.038831219,,
1039,0.038831219,,
1044,0.038831219,,
1047,0.038831219,,
1052,0.038831219,,
1056,0.038831219,,
1065,0.038831219,,
1070,0.038831219,,
1075,0.038831219,,
1076,0.038831219,,
1081,0.038831219,,
1133,0.038831219,,
1136,0.038831219,,
1160,0.038831219,,
1177,0.038831219,,
1186,0.038831219,,
1190,0.038831219,,
1213,0.038831219,,
1220,0.038831219,,
1222,0.038831219,,
1256,0.038831219,,
1264,0.038831219,,
1276,0.038831219,,
1295,0.038831219,,
1323,0.038831219,,
1333,0.038831219,,
1350,0.038831219,,
1356,0.038831219,,
1364,0.038831219,,
1375,0.038831219,,
1401,0.038831219,,
1419,0.038831219,,
1421,0.038831219,,
1423,0.038831219,,
1463,0.038831219,,
1480,0.038831219,,
1481,0.038831219,,
