,,,video_id,cosine_distance
1646,0.807766244,,,
1699,0.807766244,,,
1720,0.807766244,,,
1723,0.807766244,,,
1812,0.807766244,,,
1816,0.807766244,,,
1828,0.807766244,,,
1837,0.807766244,,,
1946,0.807766244,,,
1950,0.807766244,,,
1957,0.807766244,,,
2009,0.807766244,,,
2027,0.807766244,,,
2030,0.807766244,,,
2040,0.807766244,,,
2096,0.807766244,,,
128,0.807729279,,,
327,0.807729279,,,
570,0.807729279,,,
699,0.807729279,,,
832,0.807729279,,,
1035,0.807729279,,,
1076,0.807729279,,,
1259,0.807729279,,,
1264,0.807729279,,,
20,0.807381776,,,
160,0.807381776,,,
169,0.807381776,,,
302,0.807381776,,,
318,0.807381776,,,
341,0.807381776,,,
355,0.807381776,,,
414,0.807381776,,,
443,0.807381776,,,
453,0.807381776,,,
462,0.807381776,,,
470,0.807381776,,,
521,0.807381776,,,
541,0.807381776,,,
665,0.807381776,,,
726,0.807381776,,,
750,0.807381776,,,
753,0.807381776,,,
759,0.807381776,,,
785,0.807381776,,,
893,0.807381776,,,
945,0.807381776,,,
971,0.807381776,,,
1060,0.807381776,,,
1072,0.807381776,,,
1096,0.807381776,,,
1105,0.807381776,,,
1181,0.807381776,,,
1250,0.807381776,,,
1419,0.807381776,,,
1505,0.807381776,,,
1665,0.807381776,,,
1736,0.807381776,,,
1749,0.807381776,,,
1831,0.807381776,,,
1867,0.807381776,,,
1952,0.807381776,,,
1963,0.807381776,,,
2028,0.807381776,,,
2141,0.807381776,,,
2182,0.807381776,,,
220,0.803921569,,,
233,0.803921569,,,
275,0.803921569,,,
343,0.803921569,,,
512,0.803921569,,,
517,0.803921569,,,
557,0.803921569,,,
564,0.803921569,,,
590,0.803921569,,,
594,0.803921569,,,
640,0.803921569,,,
664,0.803921569,,,
690,0.803921569,,,
835,0.803921569,,,
950,0.803921569,,,
1078,0.803921569,,,
1085,0.803921569,,,
1102,0.803921569,,,
1124,0.803921569,,,
1188,0.803921569,,,
1209,0.803921569,,,
1211,0.803921569,,,
1245,0.803921569,,,
1276,0.803921569,,,
1327,0.803921569,,,
1341,0.803921569,,,
1371,0.803921569,,,
1409,0.803921569,,,
1428,0.803921569,,,
1500,0.803921569,,,
1536,0.803921569,,,
1542,0.803921569,,,
1597,0.803921569,,,
1635,0.803921569,,,
1648,0.803921569,,,
1662,0.803921569,,,
1697,0.803921569,,,
1734,0.803921569,,,
1761,0.803921569,,,
1766,0.803921569,,,
1769,0.803921569,,,
1770,0.803921569,,,
1794,0.803921569,,,
1805,0.803921569,,,
1820,0.803921569,,,
1825,0.803921569,,,
1835,0.803921569,,,
1861,0.803921569,,,
1880,0.803921569,,,
1889,0.803921569,,,
1924,0.803921569,,,
1933,0.803921569,,,
1935,0.803921569,,,
1961,0.803921569,,,
2004,0.803921569,,,
2038,0.803921569,,,
2044,0.803921569,,,
2054,0.803921569,,,
2067,0.803921569,,,
2076,0.803921569,,,
2083,0.803921569,,,
2126,0.803921569,,,
13,0.788542868,,,
34,0.788542868,,,
79,0.788542868,,,
120,0.788542868,,,
139,0.788542868,,,
219,0.788542868,,,
238,0.788542868,,,
306,0.788542868,,,
419,0.788542868,,,
421,0.788542868,,,
448,0.788542868,,,
531,0.788542868,,,
545,0.788542868,,,
642,0.788542868,,,
677,0.788542868,,,
680,0.788542868,,,
705,0.788542868,,,
712,0.788542868,,,
735,0.788542868,,,
740,0.788542868,,,
809,0.788542868,,,
827,0.788542868,,,
844,0.788542868,,,
871,0.788542868,,,
923,0.788542868,,,
957,0.788542868,,,
968,0.788542868,,,
992,0.788542868,,,
1002,0.788542868,,,
1027,0.788542868,,,
1055,0.788542868,,,
1122,0.788542868,,,
1142,0.788542868,,,
1171,0.788542868,,,
1174,0.788542868,,,
1253,0.788542868,,,
1321,0.788542868,,,
1378,0.788542868,,,
1380,0.788542868,,,
1398,0.788542868,,,
1421,0.788542868,,,
1466,0.788542868,,,
1482,0.788542868,,,
1532,0.788542868,,,
1632,0.788542868,,,
1649,0.788542868,,,
1661,0.788542868,,,
1742,0.788542868,,,
1799,0.788542868,,,
1843,0.788542868,,,
1871,0.788542868,,,
1893,0.788542868,,,
1898,0.788542868,,,
1906,0.788542868,,,
1941,0.788542868,,,
1982,0.788542868,,,
2000,0.788542868,,,
2179,0.788542868,,,
80,0.788502207,,,
387,0.788502207,,,
784,0.788502207,,,
1203,0.788502207,,,
1479,0.788502207,,,
52,0.784698193,,,
65,0.784698193,,,
66,0.784698193,,,
114,0.784698193,,,
143,0.784698193,,,
183,0.784698193,,,
198,0.784698193,,,
310,0.784698193,,,
374,0.784698193,,,
401,0.784698193,,,
447,0.784698193,,,
454,0.784698193,,,
469,0.784698193,,,
473,0.784698193,,,
489,0.784698193,,,
493,0.784698193,,,
499,0.784698193,,,
515,0.784698193,,,
519,0.784698193,,,
571,0.784698193,,,
596,0.784698193,,,
609,0.784698193,,,
651,0.784698193,,,
663,0.784698193,,,
671,0.784698193,,,
681,0.784698193,,,
766,0.784698193,,,
811,0.784698193,,,
848,0.784698193,,,
853,0.784698193,,,
877,0.784698193,,,
901,0.784698193,,,
963,0.784698193,,,
1025,0.784698193,,,
1083,0.784698193,,,
1089,0.784698193,,,
1138,0.784698193,,,
1168,0.784698193,,,
1212,0.784698193,,,
1223,0.784698193,,,
1294,0.784698193,,,
1331,0.784698193,,,
1353,0.784698193,,,
1360,0.784698193,,,
1386,0.784698193,,,
1462,0.784698193,,,
1476,0.784698193,,,
1510,0.784698193,,,
1516,0.784698193,,,
1517,0.784698193,,,
1531,0.784698193,,,
1534,0.784698193,,,
1601,0.784698193,,,
1638,0.784698193,,,
1644,0.784698193,,,
1666,0.784698193,,,
1678,0.784698193,,,
1680,0.784698193,,,
1687,0.784698193,,,
1689,0.784698193,,,
1715,0.784698193,,,
1732,0.784698193,,,
1784,0.784698193,,,
1822,0.784698193,,,
1836,0.784698193,,,
1883,0.784698193,,,
1887,0.784698193,,,
1936,0.784698193,,,
1947,0.784698193,,,
1948,0.784698193,,,
1999,0.784698193,,,
2023,0.784698193,,,
2070,0.784698193,,,
2078,0.784698193,,,
2082,0.784698193,,,
2104,0.784698193,,,
2116,0.784698193,,,
2183,0.784698193,,,
25,0.615532488,,,
31,0.615532488,,,
40,0.615532488,,,
64,0.615532488,,,
70,0.615532488,,,
90,0.615532488,,,
95,0.615532488,,,
97,0.615532488,,,
100,0.615532488,,,
103,0.615532488,,,
123,0.615532488,,,
125,0.615532488,,,
129,0.615532488,,,
137,0.615532488,,,
236,0.615532488,,,
250,0.615532488,,,
256,0.615532488,,,
258,0.615532488,,,
265,0.615532488,,,
279,0.615532488,,,
286,0.615532488,,,
287,0.615532488,,,
303,0.615532488,,,
328,0.615532488,,,
336,0.615532488,,,
357,0.615532488,,,
358,0.615532488,,,
367,0.615532488,,,
368,0.615532488,,,
372,0.615532488,,,
