video_id,cosine_distance
2079,0.784698193
2123,0.784698193
44,0.615532488
45,0.615532488
63,0.615532488
96,0.615532488
123,0.615532488
168,0.615532488
176,0.615532488
199,0.615532488
204,0.615532488
244,0.615532488
298,0.615532488
316,0.615532488
332,0.615532488
354,0.615532488
361,0.615532488
380,0.615532488
401,0.615532488
411,0.615532488
415,0.615532488
465,0.615532488
469,0.615532488
494,0.615532488
502,0.615532488
503,0.615532488
531,0.615532488
539,0.615532488
564,0.615532488
567,0.615532488
615,0.615532488
619,0.615532488
637,0.615532488
642,0.615532488
647,0.615532488
663,0.615532488
710,0.615532488
727,0.615532488
735,0.615532488
748,0.615532488
789,0.615532488
807,0.615532488
833,0.615532488
861,0.615532488
897,0.615532488
901,0.615532488
914,0.615532488
915,0.615532488
934,0.615532488
971,0.615532488
1024,0.615532488
1027,0.615532488
1067,0.615532488
1089,0.615532488
1104,0.615532488
1117,0.615532488
1154,0.615532488
1157,0.615532488
1166,0.615532488
1206,0.615532488
1216,0.615532488
1219,0.615532488
1232,0.615532488
1236,0.615532488
1241,0.615532488
1246,0.615532488
1250,0.615532488
1268,0.615532488
1290,0.615532488
1294,0.615532488
1299,0.615532488
1333,0.615532488
1339,0.615532488
1355,0.615532488
1360,0.615532488
1392,0.615532488
1398,0.615532488
1451,0.615532488
1488,0.615532488
1567,0.615532488
1576,0.615532488
1580,0.615532488
1630,0.615532488
1644,0.615532488
1683,0.615532488
1733,0.615532488
1754,0.615532488
1757,0.615532488
1769,0.615532488
1772,0.615532488
1773,0.615532488
1797,0.615532488
1799,0.615532488
1828,0.615532488
1902,0.615532488
1905,0.615532488
1907,0.615532488
1908,0.615532488
1918,0.615532488
1959,0.615532488
1988,0.615532488
1996,0.615532488
2003,0.615532488
2022,0.615532488
2041,0.615532488
2057,0.615532488
2064,0.615532488
2088,0.615532488
2106,0.615532488
2168,0.615532488
8,0.61514802
12,0.61514802
33,0.61514802
77,0.61514802
84,0.61514802
94,0.61514802
133,0.61514802
139,0.61514802
143,0.61514802
148,0.61514802
256,0.61514802
264,0.61514802
303,0.61514802
339,0.61514802
384,0.61514802
385,0.61514802
397,0.61514802
428,0.61514802
433,0.61514802
489,0.61514802
493,0.61514802
561,0.61514802
588,0.61514802
590,0.61514802
658,0.61514802
679,0.61514802
688,0.61514802
693,0.61514802
704,0.61514802
731,0.61514802
756,0.61514802
764,0.61514802
799,0.61514802
808,0.61514802
846,0.61514802
858,0.61514802
860,0.61514802
871,0.61514802
919,0.61514802
941,0.61514802
957,0.61514802
974,0.61514802
1001,0.61514802
1003,0.61514802
1025,0.61514802
1048,0.61514802
1058,0.61514802
1071,0.61514802
1083,0.61514802
1112,0.61514802
1130,0.61514802
1143,0.61514802
1146,0.61514802
1156,0.61514802
1169,0.61514802
1186,0.61514802
1245,0.61514802
1272,0.61514802
1330,0.61514802
1363,0.61514802
1380,0.61514802
1390,0.61514802
1397,0.61514802
1579,0.61514802
1592,0.61514802
1636,0.61514802
1637,0.61514802
1638,0.61514802
1731,0.61514802
1749,0.61514802
1770,0.61514802
1824,0.61514802
1843,0.61514802
1854,0.61514802
1879,0.61514802
1880,0.61514802
1887,0.61514802
1926,0.61514802
1985,0.61514802
2007,0.61514802
2060,0.61514802
2063,0.61514802
2138,0.61514802
11,0.038831219
22,0.038831219
28,0.038831219
53,0.038831219
60,0.038831219
71,0.038831219
72,0.038831219
74,0.038831219
79,0.038831219
93,0.038831219
117,0.038831219
118,0.038831219
122,0.038831219
150,0.038831219
151,0.038831219
173,0.038831219
210,0.038831219
211,0.038831219
227,0.038831219
230,0.038831219
237,0.038831219
251,0.038831219
254,0.038831219
268,0.038831219
279,0.038831219
301,0.038831219
335,0.038831219
336,0.038831219
381,0.038831219
393,0.038831219
394,0.038831219
400,0.038831219
446,0.038831219
451,0.038831219
471,0.038831219
475,0.038831219
476,0.038831219
481,0.038831219
495,0.038831219
506,0.038831219
507,0.038831219
509,0.038831219
523,0.038831219
548,0.038831219
549,0.038831219
597,0.038831219
610,0.038831219
617,0.038831219
656,0.038831219
657,0.038831219
662,0.038831219
665,0.038831219
687,0.038831219
701,0.038831219
711,0.038831219
714,0.038831219
740,0.038831219
755,0.038831219
778,0.038831219
779,0.038831219
794,0.038831219
801,0.038831219
804,0.038831219
806,0.038831219
809,0.038831219
812,0.038831219
814,0.038831219
816,0.038831219
820,0.038831219
843,0.038831219
854,0.038831219
865,0.038831219
874,0.038831219
877,0.038831219
886,0.038831219
887,0.038831219
916,0.038831219
928,0.038831219
948,0.038831219
953,0.038831219
955,0.038831219
962,0.038831219
993,0.038831219
1000,0.038831219
1029,0.038831219
1035,0.038831219
1055,0.038831219
1056,0.038831219
1068,0.038831219
1082,0.038831219
1096,0.038831219
1129,0.038831219
1135,0.038831219
1141,0.038831219
1148,0.038831219
1177,0.038831219
1196,0.038831219
1199,0.038831219
1203,0.038831219
1210,0.038831219
1237,0.038831219
1240,0.038831219
1260,0.038831219
1282,0.038831219
1283,0.038831219
1284,0.038831219
1295,0.038831219
1316,0.038831219
1356,0.038831219
1361,0.038831219
1373,0.038831219
1388,0.038831219
1404,0.038831219
1420,0.038831219
1429,0.038831219
1432,0.038831219
1454,0.038831219
1458,0.038831219
1473,0.038831219
1477,0.038831219
1503,0.038831219
1513,0.038831219
1515,0.038831219
1527,0.038831219
1547,0.038831219
1552,0.038831219
1590,0.038831219
1598,0.038831219
1600,0.038831219
1602,0.038831219
1603,0.038831219
1607,0.038831219
1609,0.038831219
1611,0.038831219
1621,0.038831219
1624,0.038831219
1641,0.038831219
