,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
13,26.88312744628302,-122.07434461130849,66.70520531268681,16.691746525148908,-12.370078994880878,99.37635138878564,184.45636920057646,194.95258150729452,43.11912967058137,-151.4258619039732,257.90332065526775,-19.012231920841224,-131.63495189330936,278.86443525446066,-173.88894676374383,28.416163251717954,178.6314146518024,-119.10947113580939
14,-11.695918187921714,72.93059100183281,60.40904304490079,22.88782195701294,12.643032300458126,149.4943661582866,164.1442291087895,163.49945349721636,144.36281996348936,-124.94128662071492,154.72757156415503,-8.360092183765031,-66.83084947595569,185.05306324880902,-112.72008108885272,38.61358711394941,134.28573824216332,-113.87016081904255
15,-9.966646220788821,-130.3362369826513,65.27342937266562,182.22516193448476,-2.4600805332134783,111.12025895428062,197.29746271957796,199.5941084408525,186.61164475056236,-207.3661168988565,198.39261527394885,1.641914622026576,-87.3267084271001,201.37131347622676,-134.5357106500394,14.804502354346482,136.51110193763063,-99.2757571767026
16,-60.503907854646414,-150.50402255546513,119.13604512297746,63.28171585690015,17.946967689422774,168.35767197825612,298.68043358851367,306.97865640274284,287.1759351189208,-209.1997640586961,297.79458653037426,156.78089194153793,-118.01095697737468,290.02653658127025,-169.18466692139717,87.37773654277287,198.44035008749407,-131.27765496821866
17,23.988446785257832,-126.12084662514727,67.17595682680074,32.09557760658457,-2.331047665182296,154.45191552077102,228.0801085547597,224.1948661932161,228.42993452867543,-37.24231573513042,293.3228601808293,-55.77512105942943,-101.73347324800545,239.45739346664104,-195.66361148172084,63.53767634078008,146.39118460929566,-139.73940063412329
18,-19.248919244179366,-80.85650394481738,66.85993548708753,178.75587400089205,-6.7847534718569875,82.9471773259556,182.75604182615646,190.7010682363965,184.2427675390371,-84.90661318080532,197.37811689220968,-27.179939770745104,-74.39222632846953,196.53171008101575,-118.10553227672293,31.2160762292964,264.51470892496474,-81.98987963617449
19,-30.157801421620167,-167.48495707127316,106.19305385308765,40.3078235248744,-5.092848715822408,166.98032137297008,323.8535391744613,324.4515745861228,312.50322347007295,-204.19003907046013,101.24964862219404,-32.77830462783192,-141.42603830899685,344.7381600453171,-238.22555452434463,64.00469908789191,251.13120246713277,-168.8774978249478
20,-29.618465111052753,-166.11710692492525,104.88917073697246,39.24160052364612,-5.384237481183859,165.1079421957563,320.8661978549943,321.4473739716248,313.04775605607205,-202.18325353472983,99.50525301835793,-32.29317169434902,-140.55360721438097,342.62806179406556,-237.17540472536442,68.43848155524454,249.51528137443407,-167.61738244574744
21,-13.467236568005642,58.559289033467934,69.4152242965525,28.999374120348012,13.475965073825327,135.63183949009905,195.59819950088587,200.14537472514644,172.44022543775736,-188.92218829025802,183.015653994932,-6.888210114110305,-78.4159561582531,208.18454801352308,-126.43012427070362,41.919693294705844,161.36132431391653,-119.00877466122003
22,29.291642304932893,-85.49338252338211,47.012829918922826,-25.225759395831826,-28.353090987773868,53.876131090232406,171.40459754448335,187.33500839193877,167.40472955750434,-133.72493750540696,182.59747923522218,131.69183707060864,-84.9259016694187,233.19478267127698,-184.5346595910275,-0.8938890733318661,180.44642302760207,-139.45303468669388
23,-63.749167328050895,-141.37374737721365,104.59365699280367,54.29160593195699,9.371495515873422,165.2845362708318,280.63322362473843,291.6247270086657,105.22122028692652,-195.18634010577952,226.53018470859078,-21.41757022477674,-102.34152585231665,249.87805116495528,-144.7884719763026,60.10047986817712,202.88323798894388,-127.97655462598351
24,-6.675645632178435,-62.14593068471683,60.675165429339486,57.12185359367175,6.781957316388237,123.58849391602365,181.32603855216158,177.13615871338632,163.3640000707891,-130.91995255376534,140.74599970437788,-16.94718546840909,-74.3565164845069,187.37392921208084,-129.26616770232363,67.53038957123005,337.60946044716775,-118.0687367806112
25,7.274373053024192,-89.81177560419121,66.53749758755978,120.45142314120218,3.192439177824052,129.43050576488378,190.51275447093514,183.1533665743628,185.86090350809502,-113.78685072148812,77.9030741379152,-26.89760827896088,-96.27451294947089,223.36476333871414,-152.19322767447466,86.56741153473841,14.095955585519361,-134.23745640825123
26,-34.73218710450202,-147.37419155698518,115.93228806949557,62.29255837161138,17.642877821000262,164.8677311973178,291.68586795647644,299.9605206668083,252.60309230156886,-205.56390554017378,284.46231295606214,154.70955385192235,-119.5664881028661,277.99493395821804,-155.6101701083068,82.78795378339872,192.90712473862214,-126.29458843488244
27,-3.7981323556545266,-138.37117271558543,74.19067959031226,42.062261112280005,-3.047869909687652,141.09287883990743,242.95912415015297,247.35471657660347,231.8526158595007,-346.5936376891693,242.86940832380446,-11.635043598547446,-97.92559929481409,244.2046395062998,-173.03756923656658,58.59358701540192,188.21072344907157,-83.4842587206148
28,-3.9668568715172956,-107.79169422278409,67.1014266558943,59.54990102360777,3.1450151972207165,130.6093342892164,206.48198206510838,201.32572003024268,191.94249627818152,-141.86267213765962,124.73668081741853,-22.31815840405421,-88.05358266149136,214.98405271404977,-151.68379923392678,71.38121969962971,356.7694751023933,-129.10795412731278
29,-18.911169480655033,-141.71602332003465,107.19322024004441,47.63518114376694,10.102893862585606,147.72987836967278,278.24419836900483,280.895112870467,273.6123248004042,-198.1339867821723,278.35877188007936,184.29887100999292,-118.87998319674857,282.74482807897255,-168.7216851240728,71.816139486605,194.7779041361545,-132.0230050681905
30,-5.321059860103539,-109.70572870001862,67.89390581566629,61.69109619685241,4.0589549557309335,130.23160924474223,200.1224769605976,196.4704649213159,183.78569308936747,-176.55546683482737,162.06842041165237,-18.373413542445462,-81.39465079002629,202.95631277889308,-143.49678954059027,73.60010603621616,351.5385380172369,-126.1721789226017
31,3.4688363462944727,-150.0532540121371,93.24224358996011,51.312923326428525,-6.835371274933039,155.4371456145172,292.2336345814335,288.9188915525144,290.2376780933195,-182.38027252843727,60.612783125028194,-35.23962386304483,-139.26552853890522,321.4391292708683,-222.73376841419625,63.21950101494579,203.051800842053,-161.79598661970422
32,-23.688248913296423,-152.87715141485933,86.24538823711933,39.821126014697576,8.201513228715124,254.48227656514342,226.24251856299875,260.05000378177834,272.3585422723319,-102.18855482316788,219.70200542426545,67.25076588713732,-114.35976546414099,220.85038927098066,-88.90754521771916,32.849849743193346,215.6045613596269,-80.85840877737684
33,-30.157801421620167,-167.48495707127316,106.19305385308765,40.3078235248744,-5.092848715822408,166.98032137297008,323.8535391744613,324.4515745861228,312.50322347007295,-204.19003907046013,101.24964862219404,-32.77830462783192,-141.42603830899685,344.7381600453171,-238.22555452434463,64.00469908789191,251.13120246713277,-168.8774978249478
34,25.838910183813045,-78.38443623149,36.28321888105258,21.399602227414523,-12.648008431694544,77.63556792941712,129.05125970887866,136.02822738104786,123.8419953313412,-80.87269758500328,58.6361016674076,-29.63628955353559,105.1598464751989,164.08762127342703,-100.90722227490049,3.992527021751825,120.2225643114549,-78.7375600911894
35,-64.16959408589814,-141.13075517745273,104.23759337367524,54.28964723984049,9.627134005275346,167.14059311658175,278.81122683746196,290.48800487922375,104.34292086997179,-193.21038534885614,229.00843292901604,-20.080283379456418,-101.6804483507734,247.49201636001837,-141.97405509550717,59.488108304404406,202.32611763447122,-126.30786636307718
36,1.69977810457829,-96.21467778134426,70.66720500813204,36.91088457165155,10.271017195719493,112.99819527510277,377.8193626727611,204.57607140208682,144.6772174351749,-130.259062677582,207.77740081600987,-1.5204057022416382,-67.01690325078988,181.2621173694467,-126.48747820009233,61.513621093562904,146.23895380748402,-97.96488142555145
37,-17.21385962144099,-151.29768861456347,79.48432684893925,35.24868753848891,5.224483897630212,251.25288983838178,220.37905929321363,252.58355631323371,266.7203123912513,-74.82031388630747,229.62542264439938,25.769880173775174,-112.07153186816674,216.41516615732857,-97.3040148524897,29.884178224598227,211.0531176901331,-83.36664777365051
38,-19.331596238502286,-141.47303112027373,106.83715662091596,47.63322245165045,10.358532351987531,149.58593521542275,276.42220158172836,279.7583907410251,272.73402538344953,-196.15803202524887,280.8370201005046,185.6361578553133,-118.21890569520531,280.3587932740357,-165.90726824327737,71.20376792283228,194.22078378168183,-130.35431680528416
39,-28.851042066958634,-150.28185473125131,112.18784896058034,58.93296311183961,16.856115012272994,183.16763787318442,281.97571663010297,294.7386226781724,286.5988441011762,-187.1548942898659,279.41591207107894,165.314678418553,-121.92313341588608,273.90135729543726,-146.85023874934765,76.9102833909139,197.33087938852526,-118.1493138052469
