,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
48,-5.7834743093600745,-593.8523386204693,-524.2558397339199,-500.5435494654214,-639.4294298607635,-21.785357186391227,336.1853958197007,-634.1337960886862,237.52516823615926,344.9435299636217,-699.6489070603494,-526.5534020958827,229.32237762443523,-140.4982769523447,-55.186000295191626,-286.44987503925597,370.52520070015345
49,-81.69668544270287,-1612.9167938182138,-1377.9199754259384,-1305.4020712759782,-1677.3593874362239,-55.113182412713925,877.1334735187943,-1727.7713292217873,627.5280159098135,400.12880016495563,-1961.9938059990027,-1377.0477672840796,556.1205999658417,-345.14838867502345,-39.90588857409831,-733.4267801014455,948.2354139887343
50,-69.89006310343608,-1527.4440912746807,-1426.3276696446092,-1366.2822233004963,-1813.4697547881233,-23.788655188489262,920.203036154565,-1643.8471628946036,674.792555498848,428.5136425531007,-1929.6843650306969,-1386.916413803268,588.5691484039636,-318.58117338913786,-35.420191457217534,-792.37376681035,940.5649212798205
52,-69.84431713269575,-1602.0355456006444,-1402.992113080667,-1346.089163540806,-1941.2837492038468,-29.762158366828384,917.7412214297656,-1688.2248577053192,662.659252333544,434.6693396272322,-1916.706427732405,-1384.8047389610933,584.5187877526942,-320.4779497687121,-45.041602672776214,-764.8827369973388,949.4946142758337
53,-95.93079518211887,-1328.6166048328816,-1182.043664504745,-1068.2348431161768,-1393.185621145972,-37.29255781030859,738.0152437457764,-1496.0538488152383,529.2905745233875,333.4553820908945,-1497.8045573999184,-1149.5093816814538,484.10385795339005,-271.83931352386674,-39.69667551799746,-598.0191044510881,768.1899481715827
54,-32.4511682313268,-836.3797491933226,-700.5392376266788,-676.5422687999314,-874.8071492770379,-20.779599451377592,440.61216395413413,-845.4583229489684,327.0466014470202,206.17481638429098,-937.3242422406877,-708.5356200542452,277.15792651865445,-181.76074843391925,-18.481508767454006,-646.8224439251136,496.23435592456167
55,-82.35213284537055,-1626.647621095071,-1389.9145326490063,-1319.6714687820192,-1692.1466145331058,-55.14083230770776,884.6889936075436,-1741.821505723111,633.3026734281052,403.7141864568102,-1977.9800681465267,-1388.0743725402897,561.9016957877915,-347.53954465777025,-39.8523038543845,-740.3903717016858,959.4850995757845
56,-22.11366484037795,-502.3131811349667,-291.1557402665664,-420.35189594973474,-550.0959536888795,-9.10785124470656,328.42757870704867,-522.5778877102143,202.89566386933038,122.7251658262791,-593.9262065730152,-466.1260377414634,197.95538466423477,-83.9518139323399,-2.0139108029105897,-241.3552205533913,295.93296502876933
58,-32.627722373795464,-983.3582389038729,-855.4333059004714,-1034.0892492004311,-1082.6933287685547,-22.344234750291935,553.451357938605,-1079.9647944943827,398.4952961150584,254.88249257083652,-1142.589214522904,-861.6216047794387,308.80333229720446,-209.11349490699104,-32.49323146729007,-466.7350474326972,587.3206297129826
59,-39.51260239834923,-1111.7770899261225,-999.238688274409,-1116.6474372355308,-1254.5181562830155,-25.48460102124199,634.9504021661402,-1191.4549393511393,469.67636163841553,296.75464045487143,-1350.6523372804504,-969.2617136030278,441.02290302720246,-228.14890517241977,-17.562913935449576,-543.3297140240946,669.8825489921409
60,-81.60614314277299,-1683.2301217421305,-1418.942125030746,-1360.2114439081133,-1746.7665908367176,-49.329477560511876,907.7699257078193,-1747.307963967628,654.6693902816766,417.8110529353748,-2036.8418413989714,-1423.658557359581,573.4909664038271,-358.14493982089203,-38.99781360987143,-764.3944595919044,985.6582168310283
61,-42.29944303190424,-1087.5224051411367,-925.1793244925304,-1076.6097121517012,-1171.5774206436129,-18.759179418906623,600.186625827643,-1149.4335920562041,434.3500170552227,277.94905094917215,-1238.6370830510507,-936.9752778029264,332.22640310818906,-234.7565472123873,-35.569717659346594,-505.8531899871058,636.0815870361396
62,-85.59509670042037,-1573.8114650119105,-1270.0435684869524,-1240.4615242308482,-1589.286570970282,-12.598335318406297,815.7699013659698,-1464.0505792058555,607.6527635677498,386.0726329348691,-1747.6743672322186,-1278.8748471039376,519.8828233296928,-319.3827907973208,-32.594950577894764,-685.6743285750307,872.508022094938
63,-86.70818432396753,-1577.8578996795814,-1273.4477032447303,-1239.2521204510106,-1591.6728850629038,-12.832374898530652,817.6593236523998,-1469.844042893702,608.7238798206383,386.7232217682246,-1750.264647300028,-1282.2367432843698,520.6336406700414,-320.2054615775866,-33.02773582366042,-686.7386270096667,874.3100176686468
64,-24.73131469362638,-763.1534798521693,-652.7911771724961,-664.0636273547284,-817.5049785212669,-23.458730259302772,411.3847328119439,-812.1018662512681,301.9460408112219,190.68857991002685,-869.6460753238279,-666.5870879170176,248.4218978393531,-170.3416307421497,-19.624807011226743,-622.7736045280714,463.87890626768814
65,-80.038401513763,-1633.781372109417,-1395.8853482114187,-1322.371812163942,-1699.710891267093,-55.08554866599243,888.576047707974,-1749.115349023284,636.3745646203992,405.0645704377916,-1985.9530481014713,-1394.0256042570966,563.5588004032285,-349.10233910742267,-39.873550051442216,-743.705511259368,963.5650201986838
66,-40.595647186354476,-1125.8096053268962,-1009.7416310479798,-1127.0954613131232,-1267.8147703138682,-25.138638091125983,641.895501492202,-1202.240845240207,474.97551659191095,300.14538019471445,-1365.1947937932232,-979.7058657541478,445.52675980654647,-230.67548435058129,-17.816416717898655,-543.6249861679571,676.7488149266384
67,128.42502624568334,-832.6718649555833,-718.2152475411028,-697.7166924787123,-906.5059688575017,-14.462229007121332,455.180520154404,-863.7357453443483,291.4504163183561,226.6406713358182,-978.8839644598421,-725.4807688193433,294.766674544778,-167.0876862094791,-33.54782083759507,-398.9744780585603,481.7540553416561
68,-95.81766322207663,-1320.4311763805777,-1147.8927608873191,-1034.6801638119468,-1335.7279402290549,-42.45480710239983,713.8209255645561,-1471.348369566016,509.275436877292,320.8364613067003,-1474.534330695317,-1124.3475289539606,467.525219619174,-272.2701121015923,-39.33538572602623,-574.3336586773123,754.8915214291245
