,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
39,-1852.617606679847,1216.802664719327,-230.16982844212146,146.4423721511257,-165.73888953484033,-274.6146273303693,652.3203932915053,-455.5039896052578,21.779459204809054,179.9045751916491,867.9393907513021,-156.89942960224673,-47.59424550757614,-811.5834502006356,-1185.728191906569,-355.1891944737562,-506.88129725659263
40,-1607.398821659074,1046.598208834472,-196.26517725535862,202.65553483472095,-109.17796398430418,-232.3968001396917,561.7253072418131,-392.0171700736443,-30.039825528021357,156.4850856825241,988.0781013706128,-146.76028897199527,-54.44708658237358,-697.7208864521118,-1028.0317774297753,-299.5757936352671,-478.842378398704
41,-1834.8331860897079,1185.5949365229278,-242.07967410607586,148.40622993380978,-162.5624511205177,-270.99999510841576,653.7731106916298,-453.1238144642337,22.538039165595382,181.42180338956823,853.4636177581547,-158.59664855171485,-65.62418248042655,-800.7532570420082,-1174.445450090176,-300.7364495329575,-510.40237115014605
42,-2023.4864769739343,1305.8805867809185,-257.86301338265105,-10.989418265129988,-173.48183694558597,-305.0302783216187,709.6122430674139,-496.64352286529834,2.794091006637262,190.0167006214024,1176.0316742543735,-187.97989433249236,-80.9655545013722,-867.4856423123776,-1318.1892293726826,-375.18865724627506,-592.6418183491558
43,-1094.7482703593894,556.5001693155644,-126.5181829922944,67.78805559585126,-94.85359266915906,-168.9590406280593,384.1145415010854,-232.52705075749282,6.961933047651081,113.99733092349379,643.0148188517543,-89.60166343001245,-49.06608895262716,-484.7784536978627,-762.1344393108905,-202.68439485131833,-289.0269282468716
44,-849.3859539726564,550.674582173435,-135.56783482755273,86.28584608766556,-83.98547486044495,-126.908215891343,294.27496356724606,-13.79504567136624,13.984597558315988,91.65216982639458,498.45349970070896,-87.74491613350867,-21.998940869597387,-361.70004077164657,-559.9563427165456,-156.51492959128763,-227.13823879995377
45,-1154.9714108519745,849.2373448280324,-170.11878146774325,110.31194205943913,-121.50320728594927,-204.54534035492398,474.48614371816274,-327.8209248093375,5.737924677264647,140.00537435528187,770.8183656863407,-104.71240213171184,-56.539539249115045,-567.7024266475713,-888.1119722214905,-247.29138032831722,-383.9550445685311
46,-1374.8017073915476,963.8445952665162,-191.52203316029488,130.90645911385693,-143.83950666059349,-232.2557108638451,541.995412251167,-372.4672886338879,11.380897351876577,156.25337203819421,826.3501764138884,-118.33813792760098,-64.79129541229425,-640.0244471127978,-1014.8544367129595,-279.30415388421125,-438.0715853081282
47,-2106.7656276437106,1240.5438382903299,-293.20173595428156,183.46423379451304,-200.5829522496076,-313.72199475782566,731.9452227198409,-521.7345109128028,24.27220334130553,210.65501290910495,1247.9649212208167,-171.5689770228206,-48.33741641121098,-928.4154931281107,-1285.8432363250545,-418.1796777285135,-625.6341221169092
48,-1176.37556829232,753.7969602214301,-161.70042331873816,27.287961840547826,-81.26338150998065,-164.025145325857,398.5592567624171,-287.9290623975329,-5.585108548092312,117.79638896507929,702.7790904852515,-118.89127086336468,-45.09139878880223,-291.1956928033212,-707.1632984344643,-191.56692052790936,-322.3937051865103
49,-717.2555252368978,433.13528195532757,-122.92130660089971,31.08364316593465,-80.95754832839596,-117.93087958401054,248.23690036999247,-181.3049246992501,36.427761201817184,76.71850269307964,416.4713130908876,-56.11435772667844,78.93000343755011,-291.8373068112523,-493.49185253955426,18.401401034537308,-170.3636514117359
50,-797.7533611374764,521.3831543975992,-118.57265683519445,-7.529887443443431,-75.02221322256845,-123.04504046503844,442.55254202443655,-209.96369987016504,0.20328015364506477,29.046025033009165,470.776233842362,-104.07077376776634,-14.927507511233697,-355.4327939855886,-506.87277793563635,-180.1337256436214,-281.01762603447963
52,-2021.5157029480313,1152.0005529578689,-245.73900357664195,167.2946081780364,-193.55308897393635,-302.9513072941789,700.7013619314537,-502.87049330405983,23.345816434236657,207.30210738146184,1195.0596820187952,-160.20829820519552,-48.330038974300955,-894.8910163793524,-1244.6161161315642,-402.30937145915874,-593.4231599753309
53,-2070.7251276450434,1312.2832110399604,-259.2160095931851,-5.456037341995895,-180.76971342267043,-312.7500708989268,719.8423544353151,-505.3888895626839,3.419690127789314,197.47013011738767,1249.783947751623,-188.077563622773,-79.98875614472202,-890.4783134192859,-1336.106889043327,-388.3224510118464,-613.276091974225
54,-948.2169540326586,619.8276307328979,-112.5205460642422,57.30361808438205,53.77528810694774,-145.83808926264507,330.541364692361,-228.11097722293877,80.63741893974168,89.9621817311354,545.2541670530857,-57.44171368854045,-53.21210857107899,-426.83273793572874,-602.032939815018,-174.71758380574278,-253.40612105288815
55,-1944.8676293249482,1253.127543785945,-260.1873094496288,121.08378272211618,-171.76255473766923,-288.3481721834525,688.8345659088875,-480.4033893710488,21.200025208542872,188.97170498374487,926.4180128947203,-171.72096776016008,-62.45500693798444,-844.8961736317782,-1251.5889536758123,-363.2436450090071,-538.5812427273421
56,-643.138189265663,431.52924437721214,-97.04714592688863,41.89741885593038,-78.854585143456,73.5252778692667,231.06600533900192,-166.53270247888187,30.042971596376173,71.6503186636111,391.26676845434514,-87.20557698293234,-11.351909348636111,-302.9778577332581,-424.1866379286206,-123.16999393799472,-223.81389123564634
58,-1320.0518518677309,869.7797539047989,-303.41928212951115,62.429374874164154,-132.57562676850472,-205.4018580120382,464.0256571955046,-354.25834463663267,22.193554887777257,204.45345140439244,774.2518770921727,-68.65824779786837,-51.30163148051991,-589.4235223688803,-879.4434193748615,-257.77075202660933,-357.8063900406997
59,-1445.7875790228488,949.7428925074558,-317.4605025280061,36.419070487954734,-139.77291848891488,-225.31193418748524,502.8112755883869,-384.2564026371908,15.901455306616754,177.21780588510768,844.4640706344707,-85.63831041825694,-56.215443248687905,-642.3289629474149,-956.5177923536156,-283.7034519056346,-409.13706837270195
60,-1941.7836278956452,1247.8522659876116,-256.68587328064086,121.187954517098,-171.175559807986,-287.83289624598535,687.8319417323486,-478.9635058879383,20.984500497629107,188.03116773715703,924.8243711339757,-172.1017953624306,-62.535686163423264,-843.4552793048717,-1250.2449921583889,-362.3745934297488,-537.4295870542027
61,-1528.658211292533,1002.5036776719777,-197.4325605710043,87.56387993593714,-140.61356952527927,-224.4245563036832,557.1581282028762,-372.011457950618,27.59515993966945,343.9741750201623,951.8302549335792,-107.69486301070697,-50.430009589655164,-659.2035884846682,-1016.9981480847856,-274.0217314302477,-384.9050840509041
62,-1953.1809058186511,1264.2637593013217,-249.31579716185874,-16.76651580651001,-168.53053038926421,-294.28233947340175,684.483563444976,-478.4486400910874,4.374498145812751,223.9796877292947,1188.5843821020467,-174.81718830904254,-79.39424566687059,-836.066047787523,-1280.2503972589277,-359.3943946114013,-564.471833971939
63,-1957.6317259967523,1269.163316577879,-245.59305860258632,-15.836979380965541,-168.74481225770796,-294.8517141280468,685.5901817037825,-478.72138271308023,4.084838034583001,223.6121591469024,1191.6315275138088,-175.4814182085689,-78.96228251278617,-838.1239299910787,-1282.3592411559248,-360.7755636641003,-565.7230146071428
64,-1570.106590530381,1132.0783875409827,-120.89757128039052,106.48218129915503,-144.01251250635863,-237.48693098732215,529.496416757901,-373.43298109194274,7.160839650413203,189.5354417993833,942.7127837921236,-103.53746795276332,-28.407947644915573,-703.7497877333215,-1001.8711712348595,-332.00587524366796,-429.5827846917234
65,-1853.0445899333645,1200.255382662573,-242.22238860168477,150.08752567539386,-163.91424074952639,-273.57147998464916,659.7459966198363,-457.2832741902545,21.933202480020277,183.00932004536583,863.5706782380204,-159.75578371298445,-67.71617532749815,-809.5204841864337,-1185.2223719116068,-308.0184548907854,-516.0425428953687
66,-1247.2946826413672,816.1606175512975,-295.1417080700949,48.960688848350166,-95.43012918022932,-195.64232456689234,435.21332519489454,-335.31323962721945,32.12674592555475,158.50035868354075,719.2002443512562,-63.21183087755438,-52.6259673849262,-559.8661663134087,-824.8844273808859,-244.26086608057372,-346.2807044101107
67,-991.120608548631,670.7497393219185,-107.32147345683492,119.31596146626566,-134.92775080654994,-177.96440917207966,369.557541107816,-252.16235791729787,71.71319142821295,106.34512053629125,584.6690033532686,-35.74447318500804,-30.695637377408104,-318.9438126512707,-706.6259713171413,-241.4008584703817,-331.0291658375944
