,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
25,380.42333850436864,268.77484198901277,-501.12013288809953,-352.53243434394614,-28.148366188138876,278.1535197261843,-333.8359112978022,638.4142855042919,-30.19912203032356,557.6781628859607,157.24001506070627,-483.58576768779636,-190.24295036649667,-507.13387146783793,-160.51591335011332
26,391.70937309210285,470.5805615659003,-1119.6339929125857,-628.8164404628542,-41.78854479040816,508.48684256723845,-617.3778216080595,1187.1044547241738,-76.340611243537,1088.706995803052,262.78375940538496,-920.3162926446241,-399.00710185123853,-925.9532204826011,-323.55722808674403
27,418.16614596043604,551.9251355998128,-1057.133680944867,-865.2728331229735,-40.23656719185698,589.2585703328718,-727.5896079728727,1359.737622200016,-86.62960310647667,1220.5422102497814,314.81326181931473,-1048.4025232306062,-458.84107136739857,-1055.5088699904054,-369.9461756815717
28,221.2537903356087,317.5697884081463,-631.828980842393,-442.2712307924458,-17.48949948684532,347.62867712250227,-411.56547203733476,793.1445180009762,-48.52796703700465,907.2989375155429,182.1788388577167,-578.320656087507,-254.635077492781,-631.7452289466283,-222.3455913909687
29,390.8810930525891,476.65062331122516,-1153.603708223004,-655.6608614184291,-39.70316828586666,510.2389018117857,-616.1768995073706,1190.242679653508,-67.38394792251229,1091.2987103509927,266.05901647143145,-918.4991216858045,-397.2371860016924,-925.9147452734193,-325.541206840344
30,213.59124285974426,297.9671963132736,-618.396212629004,-448.5940260853632,-46.87398763552422,327.8753670521915,-407.75945514583043,764.0377664662433,-56.75949526479104,878.0789477224396,167.20373025438838,-560.4524937557983,-267.3603104663406,-623.5060617515762,-226.10480722077645
31,362.4844081014778,284.1469532797546,-525.313908799742,-367.81944936608573,-28.133527799277253,296.54509321540445,-356.27690924205183,682.0578581031813,-35.64669153063256,588.7345334306395,170.75988520420253,-506.44062272770253,-195.1023767034174,-560.4163506052817,-173.26468398429373
32,259.8276325055967,346.7132660315775,-739.885193107555,-472.5639940459925,-50.05833525907602,377.3428759003181,-441.17959184117484,1017.6393210212088,-46.64754045576521,800.8702898889501,204.34146197299353,-673.0825465515617,-265.7644331339305,-670.2308188046757,-214.26744683992078
33,399.47115273514936,532.6675267484688,-985.7657112762417,-648.5582219171446,-68.1478216202688,557.4085519718845,-664.3574359374277,1284.0428564973813,-79.04979949748895,1161.0909750713558,324.13201642777113,-936.7918106235671,-397.38307365448816,-1117.4299150706856,-351.8687384635506
34,165.2413548418687,248.10906826053426,-397.76760360473605,-274.828946889194,-39.207368221065856,214.7600933129363,-284.7714218552405,529.3455527349946,110.69924922512737,489.00406696470526,121.7702151347266,-294.0163833615688,-199.27615906809854,-459.7731242020937,-163.5898091387388
35,344.84316260481614,445.88670234766755,-878.4573371588025,-515.9226380674456,-38.39119303291344,472.9466134101333,-579.0649712942138,1079.5475794524307,-35.5813619843213,995.4909619932539,257.4387717544532,-926.0798141597551,-385.0938207405341,-879.6457431519764,-296.5835133728697
36,271.1181023113024,372.60734065404966,-644.826285290585,-454.1119189248753,-30.255918114339003,356.863220518533,-248.09858609282819,823.5273004655535,-39.70758840845605,749.9294100171015,200.91318701283762,-626.1034684793227,-273.462492026202,-609.2559388283959,-217.72695586445116
37,243.82129103834393,348.7391201743706,-670.8258610636942,-460.4685839812879,-51.673816538285394,361.7868920692393,-416.7608274514002,981.0434974629704,-39.031711505732154,762.5758923579768,206.25788905087003,-641.6373669068165,-251.39563589852239,-617.4175200146107,-201.996470699394
38,386.22491863063556,470.5743345319797,-1141.8339125670077,-648.732917991049,-39.12026779623381,503.7487726693071,-608.3550058832977,1175.3966221937296,-67.41738311989772,1077.8543999396231,265.8747278488273,-905.0608972434668,-392.11875471756423,-913.7590042373165,-321.3141830362896
39,366.1382356527194,432.6526804738208,-1048.4394717606967,-603.978333184179,-36.199347004385196,471.7697258828485,-570.0870400295358,1104.8309950608202,-64.3629410522825,1009.7125457044289,279.7215318990825,-857.4137910728863,-364.5231316559361,-866.8377766363443,-302.1006984276627
40,323.7576598489969,499.5404124469855,-807.4223198698687,-584.8936472937266,-49.55521564314826,449.04215434295065,-511.0356088469435,1047.8979420436842,-25.96711111771968,930.7196244312718,285.1928779620601,-806.6810469810692,-333.21993647613976,-710.4605734552515,-273.03379606696427
41,386.22491863063556,470.5743345319797,-1141.8339125670077,-648.732917991049,-39.12026779623381,503.7487726693071,-608.3550058832977,1175.3966221937296,-67.41738311989772,1077.8543999396231,265.8747278488273,-905.0608972434668,-392.11875471756423,-913.7590042373165,-321.3141830362896
42,408.2910451619062,537.6645737778102,-1036.408317944799,-673.3600347214604,-68.66414968721271,564.1471727719904,-671.1734092632184,1305.2505869486265,-86.36273502455873,1178.8864103191158,325.23669153037133,-934.1408186171703,-399.4152479511221,-1125.5457361600565,-357.0303050435606
43,269.05680934680186,368.2502448848598,-638.9562221867203,-453.0623145334559,-30.52358505505557,353.04795008635807,-244.65365947579355,815.2994660900843,-40.791231594252615,743.3557448243535,198.621994083363,-618.5626776387281,-272.57709260489213,-603.6242221073486,-216.55774089985357
44,163.32925410013897,174.83227865533274,-410.2283793346787,-284.70265130413895,-21.513856424650676,213.55317409836033,-62.0285897705942,503.0993955318556,-31.033412975749016,467.9259987892759,115.91564611727665,-374.93986134225344,-174.67978455883764,-407.4579778213465,-145.27905862845012
45,460.38075494106437,376.58522164927314,-718.2044302102985,-491.73775189084597,-49.27259251118087,384.3393484454945,-458.15265703558515,895.303835836893,-47.11107611329569,832.744761447871,210.94641354711027,-668.330318177767,-309.5557101827145,-692.8872921099952,-238.20794258466486
46,465.28491253837586,383.11735912900866,-735.0486127692626,-500.3067427009872,-49.81022539947718,391.530443042284,-466.30986011890104,908.3423380690599,-47.860730603958956,847.47043365249,214.89518350373666,-681.1751393760956,-313.9694127345695,-705.192433486236,-242.2643515195219
47,454.69778045473,620.0676043481449,-1139.3520712633783,-925.6233111417736,-68.27703141498046,639.5442233437599,-773.6756976011998,1456.0930855765407,-83.46660691299557,1318.7855116011565,350.3862534428049,-1131.5737375493693,-485.5685343377095,-1115.231736476307,-391.90713304667463
