,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
78,-156.98157834646483,-11.952531278111126,57.54947682913773,166.24950305428936,-19.646487031427895,23.402391791039985,-26.128686054691162,-41.454040638441334,-31.217888790097426,98.12484753323189,-53.21898061152925,-79.65286217374725,-63.24605437735688,-83.30064483836624,23.014497453218755,-70.6673626020145
79,-140.62357834380256,-3.350673160855809,43.00703113219643,78.34895419823017,16.503431368185744,42.75445277114015,-21.94338475036731,-45.341252225205075,116.06248199886137,83.33879355298745,-50.67210646446966,-58.003455506635355,-87.1854465808532,-98.27534259816284,48.06781808738625,13.86697354867924
80,-231.0466973202381,-38.776505590925495,104.75555759088232,93.07792331510159,32.2894278201247,107.02824152831649,-84.21566760038148,-80.83483041301979,-142.55228801624935,194.27567686122669,-132.5446016140612,-129.69721283044106,-194.85809914496107,-282.49273046362634,87.64244690659017,69.60082864921488
81,-142.59095953224133,20.26785657495145,119.02833565392645,72.8153113937284,34.63311012322757,59.68446419948319,19.920572771955293,-71.75542214333217,-57.6036187376973,152.02002273080228,-5.561294352193187,14.716608355478902,-114.40430891135492,-190.2562645343609,69.22120984206606,29.285388370520057
82,-87.59802157984369,-0.870097061926726,45.42998945256416,58.748478418659225,-2.037889050966782,54.67911593923036,-31.401681479091785,-56.85783626245302,-55.698003188605455,259.021514663024,-59.14229750791175,-60.53611932752511,1.7371227267166973,-169.4545826783814,29.22459064052982,31.93764471823135
83,74.3923659153333,12.110809313019084,71.21340080174771,108.5242545829603,15.284621165562948,55.43637425012008,-14.116931023590125,-49.625739813194706,-89.47530979337927,118.87173431649599,-51.48362780484498,-69.12727393234454,-140.20308759837994,-121.79663040194006,62.76421802381131,24.53245879307035
84,-101.70871372351448,-3.5635528808622228,41.58799785825247,42.358112944957405,215.36054480074182,76.6373572959634,-18.145549687233004,-56.30577678941307,-52.395213201848186,72.8939119772959,-49.85365360699165,-41.416900733512776,-82.9916750994867,-83.49776672766518,9.653757361524821,19.107087910335075
85,-106.54449992554113,2.4201985304861977,48.74241740757188,64.83560451435594,15.4821520894246,56.07829284719537,-28.58805744131105,-52.43436204869373,-61.05069034927498,259.0992965827393,-57.38318357224465,-60.961394191589314,8.190752954572314,-158.43529860965143,56.31568423517572,38.425002303566295
86,-236.38181847409004,-36.289944950157306,107.00336776361951,95.4652589800153,75.69020524234153,110.8069090417205,-88.22289877139409,-113.37130148042853,-143.7111599783978,197.42196951456992,-131.60350420367055,-128.85368824288287,-199.66426827222284,-283.52422019202567,84.12345013406838,71.77567262362875
87,-216.14697126620842,-36.86364272981703,108.56084896552728,94.96352641308357,37.16635724758641,111.29614314317107,-91.82938537676513,-116.3608064399569,-138.1906859851192,203.49466518630953,-133.20522771284598,-130.31608640965206,-190.9460112548182,-293.8580554158402,86.70996193108313,71.12549056998431
88,-93.44334747844432,1.3751172679119406,36.33028671509535,55.511947528519165,-17.202203249861114,51.15610284532871,-29.011485469422826,-20.306744747907416,-54.112300949465904,234.74393924934532,-46.29612133657534,-43.9138630214711,14.09681914544232,-130.33804331950208,30.87899689775269,27.917577908123462
