,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
18,22.580674221142136,-26.395128453406866,48.45969614972037,-19.64499609599081,55.421998231680035,-24.0048105752326,-40.96035418782555,-30.796542436150762,179.0390795069375,14.05966917284712,-32.22013816044585,7.930235595230433,5.654547272551731,2.447519050395604,28.54802617553745,42.83816657240002
19,-3.939982691620455,-16.072509931669483,19.838361570064713,34.823896052124596,56.825909814441026,-9.655791397747626,-11.011562230594391,156.10038666949725,-12.862915043379891,10.900652149820502,2.198601302866281,1.3441286326009525,22.515325848385647,-29.834657934368302,14.69894506762982,45.04178312565099
20,-14.705915882167155,-38.500992522504944,6.198336971479299,-53.854095478979204,50.81125734835181,-4.94755726050775,-20.213546407847428,-36.5099403971181,2.3620321326326352,-9.461605851527954,25.98932899438874,1.4576833257170276,40.576889934827534,188.55548565430357,-10.023838135005192,42.3620167020426
21,1.6828348604253958,-36.05380438851856,24.93914912814807,-1.8700717945545184,213.56762041914916,13.171165521103013,-25.454513622602402,-13.886251467183216,38.671930511583085,-16.225667141060566,2.780097407226444,4.281814619693259,77.13126794477041,-21.78540619610423,17.170478669012823,67.0766568610471
22,-3.0008478794927442,-23.733666057323404,21.88981932013681,11.208512643431883,91.33581608994577,-1.5797538585478028,-18.560212466935855,-12.005403206829444,-7.439673578481854,-12.000388110549842,14.45433012241712,29.805961684688455,41.99058802139386,-9.674425981920175,12.721854671808229,260.0474115133307
23,-16.322536427691187,-4.01493838674594,48.01249911229146,68.99857348967895,104.2542278271582,-16.183780646658462,-51.702369846392536,5.57129420777007,-38.00920796312737,-39.3862484874823,-7.9943839295504375,1.5582185583492587,54.70179633198037,95.45586406747377,47.66898829315515,85.92148053320456
24,19.769028510920034,-26.295920705049337,48.569067039705,-19.49532995520156,58.10238369035828,-23.448830826363434,-40.8451436168768,-30.704996281306627,179.2088500269092,13.758410098143084,-31.979187976560794,7.782387133994692,6.552478375581629,2.5682920390345307,28.418152157155433,42.97277364502596
25,166.15706273072877,-18.686775112769244,23.63885586442062,14.033236301526463,47.08716289423806,-11.757153638419977,-19.17519872447005,-9.198645657451365,-47.55757387882995,-21.269601494639716,26.421896768762302,-17.64966873792847,40.97100606282349,-18.702915520200186,16.35405765351509,45.28882294596548
26,-16.153946601986014,-25.824321443902914,-163.69965147632564,-11.638136177898195,104.47285992594712,-11.759608387330802,-40.92682993108128,-27.775124166376308,-27.93709451308607,-6.972684298347223,18.310251594760658,15.185425804550157,58.97605660303278,-29.949157985325044,25.607875602311996,45.03061634857026
27,-30.38787066307033,-40.17591030467701,-8.477078970973169,-6.8577501074653044,74.36896410268055,-24.275767926084768,-23.420114565289406,-7.664849833931259,-15.914200473180786,-12.596310130261593,9.038267450615344,21.532243404946634,178.96154757351133,-33.910115309551706,9.447755786213794,-12.374315710711137
28,-16.403711332987392,-33.46081616474427,12.397427447358526,12.279811742893209,211.50235407602435,16.335790797664075,-20.083746615636457,-7.82340199758306,46.18296302202766,-27.929446954442422,18.330498380216635,-0.44620596478600666,85.73758911274496,-30.77865550881949,13.750576534631444,68.55202213254624
