,emotion,model,total_difference,rank,mean_score
113,Triumph,gpt-5.2-chat-latest,2.895522574334173,4.0,0.30983981693363843
114,Sympathy,gpt-5.1-chat-latest,2.8841972642439244,5.0,1.2526315789473683
115,Joy,gpt-5-nano,2.8683220583740345,1.0,9.251716247139589
116,Boredom,gpt-5.2-chat-latest,2.8550361025188296,4.0,0.3130434782608696
117,Nostalgia,gpt-5.1-chat-latest,2.833353685518954,6.0,0.11533180778032037
118,Sadness,chatgpt-4o-latest,2.7956970302121036,6.0,0.34553775743707094
119,Satisfaction,gpt-5.2-pro,2.7946886411991856,5.0,0.351487414187643
120,Boredom,gpt-5-mini,2.7857957713616015,5.0,0.1496567505720824
121,Sadness,gpt-5.2-chat-latest,2.7546236358910052,2.0,0.4274599542334096
122,Adoration,gpt-5.2-chat-latest,2.748207978157598,6.0,0.6411899313501144
123,Sexual-Desire,chatgpt-4o-latest,2.738408529816068,5.0,0.8324942791762013
124,Excitement,gpt-5-nano,2.7300441716734762,4.0,3.203203661327231
125,Amusement,gpt-5-nano,2.7095056565994478,7.0,5.705720823798627
126,Envy,chatgpt-4o-latest,2.701488842937003,1.0,0.005034324942791762
127,Pride,gpt-5.2-chat-latest,2.700734807064025,2.0,0.34050343249427917
128,Pride,gpt-5-mini,2.6820512449166167,1.0,0.35789473684210527
129,Calmness,gpt-5.1-chat-latest,2.680701993797566,2.0,3.648054919908467
130,Pride,gpt-5.2-pro,2.667099165647476,4.0,0.12311212814645309
131,Nostalgia,gpt-5.2-pro,2.6229529784736227,4.0,0.1940503432494279
132,Fear,gpt-5-nano,2.6157261971786836,1.0,7.326315789473684
133,Pride,gpt-5.1-chat-latest,2.606106661374346,6.0,0.09016018306636156
134,Aesthetic-Appreciation,chatgpt-4o-latest,2.598325577315733,3.0,3.765217391304348
135,Calmness,gpt-5.2-pro,2.5961774591821167,5.0,2.28604118993135
136,Sadness,gpt-5-mini,2.5893572736453803,1.0,0.4805491990846682
137,Nostalgia,gpt-5-mini,2.567287133677096,1.0,0.445766590389016
138,Awe,gpt-5-nano,2.5541471587944415,1.0,6.7020594965675055
139,Interest,gpt-5-mini,2.54931735146271,6.0,4.504347826086956
140,Calmness,gpt-5-mini,2.538476243939659,7.0,1.6508009153318077
141,Horror,gpt-5-mini,2.501239299832975,6.0,1.4645308924485125
142,Aesthetic-Appreciation,gpt-5.2-pro,2.5009251990300054,6.0,2.499771167048055
143,Adoration,gpt-5-mini,2.4994674742355056,1.0,2.0118993135011443
144,Nostalgia,gpt-5,2.4871298746196198,5.0,0.16338672768878718
145,Calmness,chatgpt-4o-latest,2.4627095235501075,6.0,1.7029748283752861
146,Calmness,gpt-5,2.438838064882252,4.0,2.3070938215102976
147,Adoration,gpt-5.1-chat-latest,2.425045777268428,5.0,1.0132723112128146
